elite_account,elite_id_str,elite_weight,falsity_score
AnnCoulter,196168350,134.33333333333334,0.6875
OccupyDemocrats,878284831,135.41666666666666,0.6875
SenJeffMerkley,29201047,135.41666666666666,0.21333333333333326
PatrickMurphyFL,261852987,1.875,0.30666666666666664
SamAdamsPDX,18731529,20.666666666666668,0.3866666666666666
PeteButtigieg,226222147,58.875,0.3866666666666667
AmericanXRoads,141990034,1.0,0.5733333333333333
GovKitz,69427169,1.0,0.27142857142857146
RepMarcyKaptur,581141508,34.041666666666664,0.2857142857142857
Jim_Moran,47412499,0.2083333333333333,0.3285714285714285
RoyBlunt,21269970,111.5,0.3571428571428571
JohnnyIsakson,253252536,0.75,0.37142857142857155
MorriseyWV,478733284,90.04166666666667,0.37142857142857155
MoveOn,26657119,135.04166666666666,0.4
ConnieMackIV,23121519,2.25,0.44285714285714284
EricGreitens,24004390,58.75,0.44285714285714284
OHDems,7392352,134.75,0.5
DaveBratVA7th,2279098645,6.041666666666667,0.5857142857142856
SheriffClarke,118845216,124.41666666666669,0.6857142857142857
Randy_Forbes,15160884,1.0,0.21538461538461529
RepMcCaul,26424123,94.83333333333331,0.23076923076923073
donnabrazile,60919240,135.41666666666666,0.2923076923076924
SenatorShaheen,109287731,135.41666666666666,0.32307692307692304
SenatorMenendez,18695134,135.41666666666666,0.3384615384615385
JohnKerry,15007149,6.833333333333333,0.3846153846153846
SenatorDurbin,247334603,135.41666666666666,0.3999999999999999
MikeDeWine,30887511,29.08333333333333,0.41538461538461535
LindseyGrahamSC,432895323,115.04166666666669,0.4307692307692308
JackKingston,36654245,41.708333333333336,0.4307692307692307
JoeNBC,21619519,135.16666666666666,0.4461538461538461
RahmEmanuel,197594920,2.0416666666666665,0.49230769230769234
SenToomey,221162525,33.291666666666664,0.4923076923076922
JBPritzker,45550693,27.45833333333333,0.5076923076923077
PatMcCroryNC,66602794,36.04166666666666,0.5692307692307692
LeahVukmir,28946201,9.291666666666666,0.6923076923076923
replouiegohmert,22055226,35.0,0.7846153846153846
yournewswire,1331194203251101698,1.0,0.9230769230769231
WVGOP,44170811,131.0,0.18333333333333346
TimRyan,466532637,135.20833333333334,0.21666666666666667
RepTomGraves,190328374,10.625,0.29999999999999993
RepHankJohnson,24745957,95.375,0.33333333333333337
SaxbyChambliss,538185166,0.125,0.3666666666666666
SenatorHassan,946549322,128.08333333333334,0.3666666666666666
HawleyMO,2352629311,94.41666666666669,0.41666666666666663
leticiavdp,22322730,4.833333333333333,0.4666666666666667
EdWGillespie,136250134,1.0,0.4833333333333334
willweatherford,107807966,8.333333333333334,0.4833333333333333
RebeccaforReal,41189107,52.708333333333336,0.5
